Hotel,link,review
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or5-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Hotel is very close to many of restaurants, shops, metro stations and a Westfield Shopping Mall. We walked to Notre Dame, Louvre and Champes Elysees. Rooms were on the small side, with a closet, a desk and of couple chairs. We had a corner room and on the weekends you could hear noise from nearby restaurants, till late. We got used to it after the 1st night. Nice size bathroom. Breakfast was excellent. Eggs cooked to order. Just ask.Bathroom cleanliness a 9."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or5-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Good hotel, good location close to Marais and lots of different subway lines. Lots of shops and restaurants close by. Comfortable room but quite noisy at night, as the streets around it have a few bars and restaurants and the windows are not soundproof. Great breakfast."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or5-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"I brought my wife to Paris for her 40th birthday and we stayed in the Relais Des Halles. The location of this hotel is possibly the best you could wish for in Paris with Les Halles and Étienne Marcel metro stations within 3-5 minutes walk and the RER from CDG airport stopping in Les Halles. The room is very well appointed with tea & coffee making facilities, a fully stocked mini bar, safe and wardrobe, well sized en-suite and television. The hotel has a lift and restaurant, although we did not use the restaurant ourselves. The room, and hotel in general, is very clean and well presented and the staff are friendly and very helpful. I would highly recommend the Relais Des Halles and will definitely stay there again if/when we return to the wonderful city."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or5-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Overall we really enjoyed staying at Le Relais des Halles for the week that we were in Paris. I really loved the size of the rooms and the free pocket wifi that the hotel provided, as well as the price point and location of the hotel. The drawbacks were that the room faintly smelled like cigarettes, it was a non-smoking room but I think that the walls were thin next to the building beside the hotel, or smoking from the street below wafted up. It was enough to make me feel sick a few times. Also, the hotel room was stifling hot at night, and we had to sleep with the windows open, which led to noise at all times of the night in our room. The hotel is located on a very busy street, which is great, but it is noisy until about 2 or 3 am most nights. One morning I woke up at about 6"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or5-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"I stayed here with my partner for 2 nights. We arrived slightly early for check in and asked if they would hold our bags. Luckily our room was ready so they checked us in early which was fab! When we got to our room we were not disappointed. The room was light and had lots of space for the two of us. The bathroom was spotless- I’m very picky with bathrooms and I could not find one fault. You are even provided with a pot full of ear plugs, cotton buds and any little extra you may have forgotten to bring. There is even a shower puff provided! It’s the small touches that make a hotel feel welcoming. There was a Bluetooth speaker, an iPad, kettle and a mini fridge with a mini bar available. The staff were friendly and always offered us bottles of water for our days out. Our room was"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or10-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Very nice staff, clean and comfortable room (i’ve choose a deluxe) with coffee and tea facilities. Wonderful shower and hairdryer. Very good breakfast in a small but nice room and again nice staff. Best location you can walk everywhere!"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or10-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"We stayed at Le Relais des Halles for a full week so really got to know the hotel pretty well.  The location is about as good as it gets. It's a 5 minute walk from all the Metro and RER lines at Chatelet-Les Halles (which means you can take the RER B train from CDG, take exit 3 out of the station, and walk a few minutes to get to the hotel). The neighborhood that the hotel's in is lively and interesting, and it's just a short walk to some very nice shopping streets like Rue Montorgueil and Rue Rambuteau.   The staff was very welcoming and knowledgeable. I really appreciate that they were able to check us in and get us into our room, even though we arrived very early. That was a nice start to our stay. I thoroughly enjoyed the history lesson one of the men on the front desk gave"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or10-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Excellent little hotel, very close to metro stop. Great area, yes it’s a little noisy but it’s Paris. Very impressed with decor, shower toiletries were great, very comfortable bed. Coffee facilities in room. Lindt chocolates in reception and able to get bottles of water foc. All staff friendly and helpful, we were able to drop of bags before check in. Would definitely recommend"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or10-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Whilst the Le Relais des Halles is only rated 3 star we found our stay to be 5 star. Location is fabulous in the heart of Paris.   The rooms were spacious in terms of Paris location, cleanliness was exceptional,amenities first class,  breakfast was delicious and fresh and the staff could not be more accommodating. In particular -  the front desk where we would like to thank Mr Romar who went above and beyond expectations in assisting us from sharing local knowledge, organizing tickets and helping coordinate transport during the strike.  I could not recommend highly enough."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or10-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"had a night stop over in paris and ended up here by chance, it was a really good place to stay and very friendly staff I would recommend this address if staying for a short time in Paris, very central and well decorated, a great place to be"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or15-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"We stayed there for Christmas week. Excellent little hotel. The staff is very nice and helpful. The rooms are not too large, but comfortable and very clean. Excellent beds and bathrooms. Breakfast is also quite nice. Our room on the third floor was quiet.  Metro Etienne Marcel is less than 5 minutes away. The Georges Pompidou Center is 5 minutes away on foot; the Louvre is 12 minutes away;  the d'Orsay Museum is about 30 minutes away. The hotel is located within the pedestrian zone with many interesting shops, restaurants, and bars. The only sortcoming is also related to the location: we had to go to a nearby busy corner to get a taxi or an Uber.  Some drivers can figure out how to get to the hotel door, some cannot figure it out."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or15-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,I stayed in Room 107 top floor 6th December 2019 it was overall very good and even though it was classed as a single had enough room for actually 2. people bathroom was a good size and amenities were also good.and it was also very quiet The reception staff were all very good especially the guy working Saturday afternoons and Sunday mornings . The one minor gripe was the Breakfast the selection of bread was ok but very hard baguettes and there could of been better choices in meats
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or15-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"I had an excellent stay at this hotel. The room was lovely and well organized. The bathroom was spacious and the shower was very good. The beds were comfortable. I was on the 5th floor and the elevator was convenient. My only complaint is the noise... If you sleep with the windows closed noise will not be a problem. The windows are pretty soundproof.  I prefer to sleep with the windows open so noise was a problem for me. The area has lively bars and can be quite noisy - especially if there is a soccer match - well into the evening (midnight). On the whole, I was very happy with this hotel and would certainly return. It is a great value. I arrived via RER B from CDG - The trip was fast and easy."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or15-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"This is a delightful boutique hotel with 15 rooms spread across 5 floors. The rooms are comfortable with all mod cons including nespresso machine, kettle, fridge and tv. The bed was very comfortable. Breakfast is provided with a good selection of breads and pastries, eggs freshly cooked and continental meats. The hotel is conveniently situated for a good number of tourist attractions. Recommended."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or15-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"The lovely people at reception. The location. The huge room. The comfortable beds. The larger than average bathroom. The cleanliness. The free chocolates, coffee, ice.  This will be my go-to Paris hotel from now on."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or20-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"I stayed only for one night but the room comfort, amenities and decor and location made me want to stay longer.   Breakfast was excellent both in diversity. As well as the service provided by the two lovely ladies serving it."
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or20-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"We had the pleasure of staying at this French boutique hotel in a convenient central location for a total of nine nights.  The room was quiet, clean and comfortable.  What made our experience especially enjoyable were everyone at the front desk; each person was particularly warm, cordial and helpful in every way.  And the breakfasts were spectacular!"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or20-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"We stayed here for one week while enjoying Paris. This boutique hotel really delivers. Everyone at the front desk was helpful and courteous. The room was small but had plenty of storage for our luggage/clothes and toiletries. The bathroom was quite large for Paris. We booked our room with breakfast included, and we were quite happy we did. It was very good with lots of choices (eggs made to order if you wanted, too).  The hotel is located in a lively area and unless you need to sleep with the window open, you'd never know it. We were on the 2nd floor and the noise was not a problem at all, even on the weekend. It was centrally located with the metro 150 ft from the front door and amazingly convenient to travel to the airport by train if you choose that instead of their car"
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or20-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,We stayed here for 8 nights in room 303. Very comfortable beds and size of room was decent for Paris and the price. Location was PERFECT! Took the metro everywhere and it’s steps from the hotel. (Étienne Marcel). Lots of shopping and restaurants and a very Walker friendly area to boot. This really is a gem. Next time I will not be so cheap and book a superior room with a bathtub to relax in at night after all the walking. Thanks so much for a lovely stay 🥰
Le Relais des Halles,https://www.tripadvisor.in/Hotel_Review-g187147-d650135-Reviews-or20-Le_Relais_des_Halles-Paris_Ile_de_France.html#REVIEWS,"Le Relais des Halles is a beautifully renovated gem in the heart of Paris.  We were there for 6 nights. I kept thinking that this hotel must have done focus groups as they designed the space and services because they succeeded in delivering a great customer experience on every score.  First of all it’s small and beautifully appointed.  Secondly, it is located within walking distance of EVERYTHING! Metro stops, St. Eustache, Chatelet Halles, the Louvre, the Pompideau, Rue Monteguiel, the Opera, etc.  Can’t be beat.  They also provide a very substantial and delicious made to order breakfast in their lower level cave.  Really can’t be beat and as long as they are able to keep their quality and prices reasonable, I won’t look to stay anywhere else.  Book directly with the hotel for"
Hotel George - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Excellent hotel all around for a solo tourist.  Extremely budget friendly for the location and services offered.  Location allowed me to walk everywhere from the Louvre to the Eiffel Tower, the softness of the beds granted me a deep sleep, the breakfast was delicious, the free water and juices in the in-room minibar and in the lobby helped keep me hydrated and my vacation costs down, the attentive staff always willing and able to help, and not to mention the superb WATER PRESSURE in the bathroom's shower!!! Zinnedine and all the hotel's staff deserve a 5 star rating! Already planning my trip back in February and can't wait!"
Hotel George - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"You get really good value for your money. It is a friendly staff that speakes English,  its clean and  have a great location in walking distance to many sights and Metro. Plus is the free minibar in the rooms and snacks in the lobby. I would stay at this hotel again."
Hotel George - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,The hotel is located near a metro station and not far away from the center. So it's easy to get around in Paris. The hotel staff is very nice and helpful. The room was nice and comfortable... so I'd recommend it for sure :)
Hotel George - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Excellent stay in this hotel in the 9th. Close to Montmartre, Pigalle and lots of very nice places in Paris I spent only one night but I will come back for sure People are accomodating and nice Good breakfast"
Hotel George - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Very friendly staff, comfortable room, small but everything you need shower room, free water and soft drinks. delicious breakfast. Highly recommend to both business and tourism travel. Will come back again."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or{}-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Excellent hotel all around for a solo tourist.  Extremely budget friendly for the location and services offered.  Location allowed me to walk everywhere from the Louvre to the Eiffel Tower, the softness of the beds granted me a deep sleep, the breakfast was delicious, the free water and juices in the in-room minibar and in the lobby helped keep me hydrated and my vacation costs down, the attentive staff always willing and able to help, and not to mention the superb WATER PRESSURE in the bathroom's shower!!! Zinnedine and all the hotel's staff deserve a 5 star rating! Already planning my trip back in February and can't wait!"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or{}-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"You get really good value for your money. It is a friendly staff that speakes English,  its clean and  have a great location in walking distance to many sights and Metro. Plus is the free minibar in the rooms and snacks in the lobby. I would stay at this hotel again."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or{}-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,The hotel is located near a metro station and not far away from the center. So it's easy to get around in Paris. The hotel staff is very nice and helpful. The room was nice and comfortable... so I'd recommend it for sure :)
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or{}-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Excellent stay in this hotel in the 9th. Close to Montmartre, Pigalle and lots of very nice places in Paris I spent only one night but I will come back for sure People are accomodating and nice Good breakfast"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or{}-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Very friendly staff, comfortable room, small but everything you need shower room, free water and soft drinks. delicious breakfast. Highly recommend to both business and tourism travel. Will come back again."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or5-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"We stayed in Hotel George Astotel for 4 nights and 5 days. Our stay was pleasant, the rooms (we had 2 standard rooms) where clean with all required facilities and well maintained. The breakfast could was good too, well stocked with classic parisian breakfast - tea, coffee, croissant/bread roll, juices, cheeses, eggs, etc. Snacks like mini cakes, Madeline's, biscuits plus tea coffee were also available all day in the hotel and the other branches of the Astotel group for free.  - Rashida"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or5-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"This place offers very convenient location to explore important places in Paris. Room was quiet and cozy,we had pleasant stay here. Highly recommended for short trip to Paris. Breakfast was also delicious with many Parisian pastry options. they also provide complementary mini bar."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or5-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Very nice hotel and with a superb service from monsieur Zineddine who really makes a difference. Beds are great, some rooms have a nice view on the street and the interiors are all different and very playful. A hotel to come back to for sure !"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or5-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"We stayed for a long weekend at Hotel George and were very happy with our stay! The hotel itself is very well kept and the staff extremely helpful and friendly. The private balcony was also a lovely surprise.  Near the hotel are many great restaurants. We were also able to visit most places on foot, which was a great way to explore the city. I would highly recommend!"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or5-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Great hotel in a great location. The hotel is very close to the metro station and even on foot you can reach the city center. In the vicinity of the hotel there are many excellent chef restaurants! In addition the rooms are clean and nice having free minibar services both in the rooms and in the lobby. The only downside is that until 1:00 at night there is noise from the street and also around 7:00 in the morning there is noise. And there is no air conditioner on cooling, (there is only in summer) so must open the window (and so the noise sounds louder)"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or10-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"I had a very comfortable stay and good night sleep which was very important for my business trip. The area of the hotel was very convenient with lots of diverse restaurants and bars to go to, and being close to Montmarte makes it even better for me since I like that part of Paris a lot.  Last but never the least, the staff at the hotel were very friendly, welcoming and attentive to your needs.  I would definitely consider coming back: 5/5"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or10-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"We stayed in the two bed room apartment for a long weekend. It offers about 40 square metres, a huge bathroom including two sinks, a bathtub, an own shower and a toilet in its own room - all together pretty convinient for a family. Every bedroom comes with its own TV, the minibar is refilled with free non-alcoholic drinks on a daily basis...the room and the hotel is in pretty good shape and nicely located in a quarter where you get everything you might desire. If you need to discover things beyond this arrondisement, you can just walk to the adjacent metro station ‚Saint George‘ or ‚Pigalle‘ and get whereever you want.  But what made our stay really special was the care taking attidue of the team. They were extraordinary friendly - all of them.  @ Zinédine: Noah finally made me"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or10-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Very Nice family Hotel. Staff very friendly, Zinadine was a perfect host. Although rooms are not too big, they can give you the right charm. Perfectly located, Close to Saint George metro, line 12. Extremelly good"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or10-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"We stayed in a twin room for 2 nights whilst attending the horse racing at Longchamp. The hotel was very clean and the staff were friendly and helpful. Free wi fi was speedy and an added bonus was the complimentary tea, coffee,water and soft drinks that were available in the room and in the reception area. Also available in reception for free were a selection of cakes and biscuits to have with your teas and coffees. The hotel was just 2 minutes walk from St George's Metro ( line 4) and a 5 minute walk from Pigalle Metro with the Moulin Rouge and Sacre Couer close by. There were several restaurants , bistros and cafes within 200 metres of the hotel. It was only an €8 taxi ride from Gare du Nord Station.  Highly recommended."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or10-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"I travelled to Paris solo. This was my first time doing a European trip. The hotel staff made my trip a success… they were super accommodating. The day staff are the best.  Not to mention the hotel was next to everything( nightlife, popular bars/restaurants, train station and buses)….I also did a tour with was organized by the staff. I asked soooooooo many questions and they answered everything. Did I say I love the hotel… it’s very whimsical which goes great with my goofy personality, lol… I would advice any female traveling solo to Paris to come to this area and this hotel."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or15-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"This hotel gives you everything you need after a busy day of sight seeing. From moment you set foot inside this hotel you feel welcome, up until the day you leave.   The room was very clean and fitted with comfortable beds. The fact that you can take a cold drink out of the included, free off charge, minibar is a real nice feature after a long day of exploring paris and its beautiful tourist attractions.   We also made use of the breakfast, in my opinion the breakfast serves everyones needs. And is very versatile.    So all these thing and the fact that the staff was very helpful and kind, lets us believe this hotel is an absolute great choice!"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or15-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Hotel was perfect.  Clean, friendly, close to great restaurants.  Location is perfect, if you want to feel ‘local’ but close enough to walk to the Louvre in less than 30 minutes (or Metro if your lazy).  All staff were helpful without exception.  Would definitely rebook when I return.  Paris was a break I really needed and throughly enjoyed."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or15-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,If you are looking to experience Paris to its fullest look no further. George Astotel had the friendliest staff that made you feel like you were walking into your own apartment back home. Shoutout to the gentleman with glasses at the front desk for greeting us every morning with a smile and helping us with how to get around the city! You have two metro stations within walking distance to take you pretty much anywhere you want to go in Paris! Staying at a luxurious hotel does not give you the true feeling of what it’s like to be in Paris and experience the life of its locals!
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or15-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,We had the best time in pairs thanks to the hotel staff who were very helpful and friendly letting us know the best places to go and how to get there .The room was excellent aswell fresh towels every day and free mini bar also . Would 100% recommend staying at this hotel when visiting pairs perfect location .
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or15-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,Firstly is important to say that is a very good location to stay such as the good price.  There’re 2 metro stations near to the hotel the staff is very friendly in special Zineddine the room is always cleaned and comfy. On my next time in Paris I’m strongly gonna stay here again!  I’d like to recommend that hotel.  Thank you for all support!
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or20-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Amazing location 30 seconds away from subway, walking distance away from Montmartre and Sacre Couer, clean, pretty hotel, free snack bar and we were able to use snack bar in any astotel in the neighborhood — very convenient.  Staff was always very helpful, although we did miss a good ironing board in the room. Maybe it’s better to have one shared steamer in the hotel)"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or20-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"Very good stay in this hotel, close to the station it was very practical, excellent bedding but the wifi was a bit slow, free drinks, excellent breakfast, we will come back soon because we have a congress planned in October, we had enjoyed the neighborhood which was lovely and many shops while my companion was working, thank you"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or20-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"For my first stay in France I stayed in this beautiful hotel, I was surprised that all the drinks were offered as well as the small snacking, the staff had been lovely telling me the right addresses in paris, i will be back already next month and i would be too happy to find this parisian gem"
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or20-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,"The stay at Hotel George-Astotel was excellent for I and my mother, who is wheelchair reliant. The beds were very comfortable and the room large enough for wheelchair storage. The staff is also very accommodating and assisted in coordinating airport transportation and recommended things to see."
Hotel George - Astotel,https://www.tripadvisor.in/Hotel_Review-g187147-d234640-Reviews-or20-Hotel_George_Astotel-Paris_Ile_de_France.html#REVIEWS,I really Enjoyed my stay. The staff and customer service was excellent. Very friendly staffs. The room was spacious and the bed was comfortable. I would absolutely stay here again during my next visit. Thank You So Much!!!
Hotel Bradford Elysees - Astotel,https://www.tripadvisor.in/https://www.tripadvisor.in/Hotel_Review-g187147-d197946-Reviews-Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France.html#REVIEWS,"Great location, rooms are rather big for Paris-standards. The free coffee/tea/snacks station from 2pm-2am is a superb added value. Staff at breakfast are welcoming, nice and efficient : Merci à Nirosha, Bruno and Mehrez ;-)"
